usdrub,sandp,brent,gold,eurusd,GAZP,SBER,LKOH,GMKN,YNDX,NVTK,ROSN,TATN,SNGS,MTSS,PLZL,FIVE,MGNT,POLY,SNGSP,ALRS,IRAO,TCSG,VTBR,NLMK,MOEX,SBERP,CHMF,TATNP,RUAL,TRNFP,PHOR,RTKM,MAGN,HYDR,AFKS,FEES,PIKK,DSKY,AFLT,LSRG,CBOM,UPRO,SCORE
-0.21964081391335152,0.06078982086142054,0.019868415387713043,0.08254042663983623,0.000602128573645322,0.0642156935897778,0.3062717548587745,0.10558858886381486,0.08713240355600665,0.04358507813568602,0.03536500589258786,0.11427199635883106,0.013186262001824593,0.09601965292658328,0.0011012888166849477,-0.03599340070580384,0.009763075298332008,-0.14683894666432923,-0.04180517220305273,-0.021998415062759548,0.07187288552719387,0.027180099474126605,0.012695748643738965,0.2709991414999562,-0.03006923258853282,0.029087930554085793,0.002121672527092118,0.11968898334173302,0.0297352365479462,0.011642139276981819,-0.0811001650220956,0.019406856024891308,-0.0460567756925825,0.08803703656490638,0.015122244115152072,-0.02371208447055661,-0.0031083848795981847,-0.028622742629648097,-0.019606453661050866,0.02569230753462047,0.05999442139732303,0.011011688797584181,-0.03657335120569299,0.9445751093173523
-0.2195131449627646,0.06134517434437667,0.019496000868026317,0.08325976074920884,0.0071438468098304194,0.0664462412688657,0.31046120221270446,0.10719958190121165,0.08750763250497262,0.043240896352219685,0.03732629701832174,0.11514471114805484,0.009654774953778034,0.09654917855450498,0.003891394640321351,-0.033653699811050014,0.006776827950138703,-0.1456440640700638,-0.04651390454179108,-0.022660710222906437,0.06776249219343736,0.020124447271835648,0.009231771695953073,0.26981994769240325,-0.030684272655719366,0.029256783756986655,-0.00673237645762001,0.11949500010701979,0.029630143151653,0.010327076216168605,-0.07771484470842875,0.02141670688038326,-0.04524427825804064,0.08797616005305608,0.010640561393514478,-0.024756600826929674,-0.003881538825469072,-0.02882737805703675,-0.019768981180533003,0.023140023675319074,0.05941397507645842,0.01174710823106944,,0.9444034903003721
-0.21840901787660028,0.06153160311007169,0.019607285027663457,0.08354785836683473,0.00956465089360445,0.06718492691912371,0.3090277750379784,0.10816045823364123,0.0876077986849384,0.043842253106061685,0.03887007457707229,0.11526439043871843,0.010190868830733349,0.09746572456001723,0.004470635480116857,-0.03389726206767575,0.006706811996452448,-0.14535178812020358,-0.047104905409376605,-0.02326648492892609,0.06806108635925756,0.020186692247799197,0.009753276528635599,0.26865739271209743,-0.03101259625955588,0.028487211930653508,-0.005828644544245629,0.12049805094771784,0.029663500381907786,0.00965082155071147,-0.07722862505586212,0.021309356534179955,-0.045600637252403015,0.08864902121237768,0.009678445893577248,-0.025274007202292212,-0.00439812687443656,-0.028797023772633757,-0.018869098331219546,0.02102746318946678,0.05947270245952153,,,0.9443875111370102
-0.21947809274238678,0.06259200006121132,0.023292552423053878,0.08455293281832625,0.010012053567735681,0.06554127848461042,0.2954580642692002,0.1051329035398536,0.0871420821607771,0.04473299528329992,0.041916467845867854,0.1238884558587344,0.007289798564883113,0.09523837406791236,0.005572600999737068,-0.026623449872636616,0.0058313239783141825,-0.1444041476608268,-0.05342418917287953,-0.0203962129811366,0.07400875636800018,0.01944556008197224,0.006340712910713149,0.2691848729224056,-0.028657153909401156,0.03004545489652082,-0.004385599663564228,0.12627395956774132,0.03211973568211687,0.008833533720093857,-0.07392624771143039,0.04617368251823689,-0.04616016122782477,0.08963614366050307,0.01577973136440145,-0.020954138737307476,-0.002743455383658583,-0.026734561457185994,-0.011119868676546917,0.030831566910703455,,,,0.9434873857011158
-0.22027288247608842,0.06767270664928846,0.021554769900115275,0.08524498354960376,0.003903898473982213,0.0667170319779368,0.29531663818940995,0.1101803320749189,0.08735003281792424,0.04553857345155432,0.03818352611352052,0.12369183355979803,0.011745741213184495,0.08868078794598194,0.002388280098350286,-0.027796574101378358,0.005606149403847349,-0.13756245195845807,-0.05350692618073348,-0.019806702388756578,0.07811759824954656,0.01995683555970181,0.00806310656373816,0.2744711638314217,-0.027883776134709222,0.026057798060750356,-0.004024372335083182,0.1315157478421136,0.03329467676822436,0.009280312935204798,-0.07255585587416491,0.048588969619321395,-0.04528617872738286,0.09046079533520718,0.018282378516262507,-0.01722179767803121,-0.002039838402203391,-0.026405384014616243,-0.008798720917624205,,,,,0.943379517264425
-0.2215553891294242,0.06700977698247562,0.021436306714806508,0.08558306511302566,0.002944929285731595,0.06600519785633421,0.29734240465486295,0.11062593272860868,0.08645613080309177,0.04528721392030577,0.038290502076262195,0.1235983262441249,0.011958258211816224,0.08763149841525521,0.0029785558136703263,-0.028442815051299124,0.004864358257148461,-0.13816137141814713,-0.053680142938743264,-0.019153736305260793,0.07764656429405317,0.019481811323166714,0.008574067116900307,0.27695514691806444,-0.028927977667881785,0.02627171582947129,-0.006563196373021676,0.13126537913138395,0.03227005040239879,0.00944646917474963,-0.07359528945385468,0.04857734742862281,-0.044057272884264,0.08948425263259123,0.017118095089882948,-0.018486568269327847,-0.002237034891378331,-0.02678199096846649,,,,,,0.9433676464057215
-0.22180118644430905,0.06870709519500329,0.02065641845227245,0.08663530814138988,0.009020366508997152,0.06863254912201275,0.30137746535124615,0.11301892364016716,0.08655432707428827,0.042084236993725745,0.04108427762615084,0.11963660445802951,0.012478132526589351,0.08901184349347822,0.003245459701307841,-0.02903118847511699,0.007872476932251491,-0.13834874308068076,-0.051798858674847466,-0.01975222367484227,0.07441917735932116,0.020820991683077338,0.009006944651981146,0.2761611534662285,-0.029018437812058817,0.027011556025055814,-0.011974224266935111,0.12834603867931332,0.032593673063740045,0.009143406401514682,-0.0777703505694618,0.04446515579297208,-0.046938687518409475,0.08606551061654424,0.014809616986454423,-0.019835577716702038,-0.00222602424966014,,,,,,,0.9431627628153597
-0.22171043425429018,0.06837837147339351,0.02065191965951979,0.08647493998641377,0.009240615258868849,0.06883881888077635,0.30140663183148825,0.11301180924381996,0.086619262159189,0.041936130881116945,0.04128362228860231,0.11974381908372624,0.01246660645500159,0.08861568115870672,0.0032727177939008874,-0.029200560806253845,0.007178944394320576,-0.13834792066480725,-0.05159498644058892,-0.01976665554464191,0.07413539408223244,0.020703312847490205,0.009124660211390315,0.2764093399552721,-0.028967303422197208,0.02702575612399476,-0.012300139345025746,0.12863951045200106,0.032427669390793654,0.009181960910974778,-0.07784275000791745,0.04416942953775173,-0.04682787451626792,0.08583875709378304,0.014487531966351594,-0.02013081746127516,,,,,,,,0.9431617723529476
-0.22229351150313767,0.06577519154060069,0.021063086154222935,0.08544176133031858,0.011671311438742352,0.06433777590879274,0.2994442472620182,0.11432116599687607,0.08668456333209093,0.04216181454621503,0.041612010736396,0.11898456825234643,0.011159866029944912,0.08548603169011372,0.0019034780065550587,-0.0273357703026071,0.00887495332338369,-0.13405290468740133,-0.05124293242409281,-0.018458153637937777,0.07315267469877301,0.019498048937770237,0.010242698064032815,0.2722938718479341,-0.030507069915833178,0.026440585920514077,-0.01585024414982597,0.12770684110601746,0.030766622501208717,0.008198368274479804,-0.07829672117270813,0.04411667003270566,-0.048421846168236415,0.08502543894424114,0.016658328020592972,,,,,,,,,0.9430957823430233
-0.22535337262955066,0.06571689847692747,0.020613543032224596,0.08508737660323883,0.010877413245272891,0.06678200265023995,0.3002164699758983,0.1160398573187438,0.08719446047397969,0.041107754742144245,0.041851869959877025,0.11857586111662004,0.01044898921794625,0.0866732726581759,0.007013930270784778,-0.02899159384403316,0.008598062945439286,-0.13323696341216185,-0.05161031959652053,-0.019556156499538225,0.07382948798600947,0.019724935923276822,0.010287988216888241,0.2749271077124055,-0.03087515239766382,0.027709526152259613,-0.014070982769555818,0.12784130148592077,0.03240448535114774,0.007948666721338496,-0.07842571536798562,0.04421079037987157,-0.047994996779827354,0.08259904628285203,,,,,,,,,,0.9430731135812742
